# T                    FRAW                 FCOR                 ARCLENGTH             MOVING   CADENCENO  
  2146.452467893396    1.0202579538995773   0.9840062870127378   3.3321035049442846    0        99714      
  2146.4729001060696   1.0277316909170504   0.9902389843564935   3.4383242452731935    0        99715      
  2146.513764230498    0.9703311723639321   0.9903256909531434   1.8031238716576306    0        99717      
  2146.534196441775    0.9747272962890192   0.9927337552887279   1.8756093656804065    0        99718      
  2146.5546284525917   0.9623658940650855   0.97760513702678     1.9614080107735303    0        99719      
  2146.5750605629437   0.9696499741549761   0.9821521776421028   2.057638646443266     0        99720      
  2146.5954927728235   0.9782066124060622   0.9865809108621394   2.1485308737219984    0        99721      
  2146.6159247822434   0.9747716346866215   0.9760084256908166   2.2325101967792396    0        99722      
  2146.6363568907327   0.9869765931099073   0.9803690588853111   2.3254669932704384    0        99723      
  2146.6567889992148   0.9926919669075909   0.9808268529194492   2.3875650646536917    0        99724      
  2146.6772211072384   1.0337320031913262   1.016206775734643    2.446387800084078     0        99725      
  2146.6976533143315   1.0078304579389066   0.9855807711716669   2.5060514917602417    0        99726      
  2146.738517427577    1.0187983520430302   0.9887801402727755   2.599710418129544     0        99728      
  2146.7589496337314   1.0303818369038789   0.9955483226748493   2.6554760462661466    0        99729      
  2146.779381738961    1.0433425720981502   1.0029320381523548   2.719387878074069     0        99730      
  2146.7998137437244   1.0330430127147607   0.9898344098068093   2.7777646383297308    0        99731      
  2146.820245948489    1.029696365658796    0.9879477808067101   2.82094252985697      0        99732      
  2146.8406780523146   1.0344294002453625   0.9935999418603485   2.857592000255371     0        99733      
  2146.861110055681    1.0341757964611786   0.9953799549615729   2.924105071283001     0        99734      
  2146.881542258576    1.02418766081839     0.987958815417041    2.9964898072841875    0        99735      
  2146.9019743610115   1.027559293425005    0.9930286622416961   3.0560081316781624    0        99736      
  2146.922406362981    1.0286623593688462   0.9946665242737828   3.1245829136591796    0        99737      
  2146.942838564486    1.0212889685517514   0.9867334517793092   3.1893559654070365    0        99738      
  2146.963270665052    1.0276903544123046   0.9919358662333713   3.2696989124598392    0        99739      
  2146.983702665624    1.030486072438788    0.9937876415362193   3.338924436733739     0        99740      
  2147.004134865725    1.0230920448674525   0.9862635748303401   3.371372373074682     0        99741      
  2147.024566965367    1.0224926970467731   0.9851550969134871   3.4175872450785265    0        99742      
  2147.0449989640765   1.0192716200320515   0.9820187180695172   3.481048229470541     0        99743      
  2147.0654311627877   1.0171992949470683   0.9797857769926529   3.5183470331499525    0        99744      
  2147.0858632605596   1.0150878108368828   0.9775623450961974   3.548340325740831     0        99745      
  2147.106295357873    1.0118230705641174   0.9741635506572532   3.58877974487773      0        99746      
  2147.126727455179    1.0240347319107421   0.9856255492526224   3.635093112947237     0        99747      
  2147.1471595515613   1.0286272115622501   0.9898094466407169   3.6720248483364872    0        99748      
  2147.1675917474786   1.0158308983276392   0.9772330584712143   3.713653188650194     0        99749      
  2147.1880237429286   1.0144440711926768   0.9756524823713587   3.7655805385977796    0        99750      
  2147.208455838372    1.0155374589931627   0.9766979885749228   3.804139211059799     0        99751      
  2147.2288880328924   1.0199527630229848   0.981120596962155    3.8287129368648793    0        99752      
  2147.249320126939    1.020327656526202    0.9820408860376681   3.9067099864420625    0        99753      
  2147.2697521205264   1.0274887321319188   0.9898974862628684   4.040003243186816     0        99754      
  2147.290184313184    1.0288633900321487   0.9916945306772478   4.165925453558854     0        99755      
  2147.3106164058336   1.0423078279987006   1.004743616936262    4.285022834706277     0        99756      
  2147.331048398024    1.0388913913538782   1.0007466793023194   4.413780513741949     0        99757      
  2147.3514805897503   1.042139229455243    1.0005731952029364   4.525039376916965     0        99758      
  2147.371912581002    1.0469231602295452   1.0023868577829005   4.629153073141487     0        99759      
  2147.3923446713306   1.0426623257768588   0.9954086455168332   4.7391202190807835    0        99760      
  2147.41277686166     1.0417221092826867   0.992542374350199    4.814433641973032     0        99761      
  2147.4332088510564   1.031437661128011    0.9810734601856272   4.879322490017099     0        99762      
  2147.4536409404463   1.0311195546479115   0.979021393013119    4.947685495464869     0        99763      
  2147.494505117371    0.9634074360690779   0.9989803436218353   1.3936587579468143    0        99765      
