T,FRAW,FCOR,ARCLENGTH,MOVING,CADENCENO
2307.550358407694,1.1444741406751175,0.8301827404702027,0.32802331123860856,0,107598
2307.5707904346928,1.1305719153893663,0.8253551947077136,0.42418313814662834,0,107599
2307.591222561685,1.1237232175619447,0.8250798021401092,0.509985359506617,0,107600
2307.611654488217,1.1217838181289568,0.8272048891447419,0.5738501263288924,0,107601
2307.6320865142843,1.1172529361610992,0.8269554025183157,0.6292206271549539,0,107602
2307.6525186398794,1.1116076363744858,0.8259734486466417,0.6862851938192897,0,107603
2307.6729505650146,1.1129048587579247,0.8296920600789117,0.7350215176490932,0,107604
2307.693382589685,1.1125294916878268,0.8321602846169166,0.7807328837015663,0,107605
2307.7138147143487,1.0981703508272869,0.8236616523724328,0.816181722657929,0,107606
2307.734246638087,1.0938869197814634,0.8232790367684094,0.8608509137642295,0,107607
2307.7546787618267,1.0920676040066122,0.8251294498231824,0.9114077016330233,0,107608
2307.775110784627,1.090725922005712,0.8277594240186233,0.9682528781559345,0,107609
2307.795542707434,1.0845584852654508,0.8262616048221737,1.0178064302825938,0,107610
2307.8159748297767,1.0794515014467172,0.8276561839333291,1.0898704843139941,0,107611
2307.8364068516457,1.0696753952622697,0.8236716956694454,1.1368258599602254,0,107612
2307.8568387730556,1.0707359222395976,0.8272237248361268,1.1730983087242521,0,107613
2307.877270894467,1.0656386963615965,0.8259466661807342,1.2083246083134958,0,107614
2307.897702914939,1.064621108679714,0.8279206132410308,1.2446965749366097,0,107615
2307.9181349354185,1.0574830748409094,0.8262929250750327,1.2962851873992653,0,107616
2307.9385669549665,1.050553704109728,0.8273944692481561,1.3888337486932896,0,107617
2307.9589989745073,1.0420291496611134,0.8240376458993846,1.4375623164843223,0,107618
2307.9794309935896,1.0437070885571589,0.8270524391964722,1.4618716003659729,0,107619
2307.9998630122063,1.0370885343756415,0.8216661199050368,1.4598223078496269,0,107620
2308.02029503035,1.038759520738915,0.825006395278078,1.4888781877515287,0,107621
2308.0407270480355,1.0328031125356603,0.8236606862433122,1.5376100746313695,0,107622
2308.0611591657216,1.0327292527655192,0.8262214227336048,1.5750469681633992,0,107623
2308.0815910824676,1.0290850191123428,0.8240995617804089,1.5863813288709228,0,107624
2308.1020231992225,1.0348506029433755,0.8264718139659957,1.5544437741049661,0,107625
2308.1224551150444,1.0355476422722025,0.8272668198780722,1.5578404665177852,0,107626
2308.14288713086,1.0313689174154157,0.8245543245858062,1.5667856444820545,0,107627
2308.1633192462177,1.0313634459986476,0.8256287723650926,1.5821749991675318,0,107628
2308.1837511611084,1.0213949559139506,0.822836632088603,1.6396927527960188,0,107629
2308.204183175527,1.0133407037150672,0.821547472858137,1.694792143818659,0,107630
2308.2246152899534,1.016987716638863,0.8289776776967338,1.741447956484618,0,107631
2308.245047203447,1.0052462348604516,0.8222322823155126,1.7709836758199495,0,107632
2308.265479216934,1.0070268804389275,0.8279074202378014,1.814611395505778,0,107633
2308.2859113299637,1.0024830822682704,0.8264193733600943,1.8377684187347127,0,107634
2308.3063432420604,0.9998318279901921,0.8278038814385158,1.8743776952054272,0,107635
2308.3267752541506,0.992074827060866,0.8238332535862435,1.9016081086747223,0,107636
2308.347207365783,0.9893532197725973,0.8233246525483724,1.9194091766395467,0,107637
2308.367639277414,0.9925523562854518,0.8276265808584701,1.9359550659033655,0,107638
2308.3880712881073,0.9891680889845434,0.8240926706431044,1.928753506752702,0,107639
2308.408503398343,0.9953014339193713,0.8257793811457874,1.8936967038430068,0,107640
2308.4289354085777,0.9867609487612667,0.8229477612807066,1.9374771847414058,0,107641
2308.449367318339,0.9796073675606436,0.8240448905903272,2.00894166424675,0,107642
2308.469799427643,0.987722868262516,0.8327544903162544,2.0276404425035506,0,107643
2308.4902314364736,0.9738077529113067,0.8268159253940971,2.08548080068943,0,107644
2308.531095452752,1.0939201403421888,0.8252688666166017,0.8916950159003927,0,107646
2308.5515274601858,1.086920246708099,0.8249655938578253,0.9697233707366645,0,107647
2308.5719594676266,1.0809403018290507,0.8248621374056192,1.0375457197745632,0,107648
2308.592391474136,1.0766780071798492,0.8270316575864455,1.1098744788539685,0,107649
2308.6128234806383,1.064639300269222,0.8232441320869921,1.1828003613198799,0,107650
2308.633255586683,1.0596850717851842,0.8252968328821667,1.2606888428416538,0,107651
2308.6536874922604,1.0567925611349471,0.8286516150775243,1.3360446557898464,0,107652
2308.6741194973656,1.0445030098041472,0.8260398941779054,1.4382244657865693,0,107653
2308.694551602479,1.0460159001026637,0.8323001043187893,1.5106844824866439,0,107654
2308.7149835066593,1.0272435040223256,0.8228002752592126,1.5888879171050352,0,107655
2308.7354155108333,1.0260628498246256,0.8289912435463559,1.6648411730370847,0,107656
2308.755847614084,1.0171048554898856,0.8277450669952676,1.7276536006119054,0,107657
2308.776279517333,1.0110391365693112,0.829755439762469,1.799722406225144,0,107658
2308.79671152011,0.9933492141205017,0.8244745409273168,1.8972309902232518,0,107659
2308.8171436224293,0.9863254570938531,0.82701502454586,1.9821369337387298,0,107660
2308.8375755242814,0.9792420067360196,0.8270275625256205,2.0418439336761334,0,107661
2308.858007526127,0.9685439886073255,0.8245074254001232,2.1069712901502244,0,107662
2308.8784396270494,0.953722704703747,0.8204704647585637,2.1814847555261205,0,107663
2308.89887152797,0.9457160616719453,0.8244403172678818,2.26370752891244,0,107664
2308.9193036284196,0.9362926919762993,0.8281326564691953,2.3524421436124383,0,107665
2308.939735528409,0.9172129294753415,0.8216917091220791,2.429509174445301,0,107666
