MasterID	Mag	Magerr	RA	Dec	MJD	Blend
1.10707E+12	16.97	0.08	192.62113	6.60288	54212.23216	0
1.10707E+12	16.91	0.08	192.62107	6.60295	54212.24146	0
1.10707E+12	16.97	0.08	192.62118	6.60289	54212.25074	0
1.10707E+12	16.87	0.08	192.62108	6.60302	54438.50193	0
1.10707E+12	16.78	0.08	192.62106	6.60265	54438.50797	0
1.10707E+12	16.81	0.08	192.62116	6.60289	54438.51408	0
1.10707E+12	16.89	0.08	192.6211	6.60297	54438.52011	0
1.10707E+12	16.79	0.08	192.62106	6.60255	54159.42668	0
1.10707E+12	16.87	0.08	192.62108	6.60288	54159.43467	0
1.10707E+12	16.96	0.08	192.62115	6.60292	54159.44257	0
1.10707E+12	16.98	0.08	192.62113	6.60292	54159.45043	0
1.10707E+12	17.03	0.09	192.62114	6.60289	54127.37326	0
1.10707E+12	16.96	0.08	192.62116	6.6029	54127.38236	0
1.10707E+12	16.98	0.08	192.62103	6.60299	54127.39147	0
1.10707E+12	16.93	0.08	192.62112	6.60283	54127.40058	0
1.10707E+12	16.95	0.08	192.62118	6.60297	54265.20174	0
1.10707E+12	16.88	0.08	192.62101	6.60291	54265.2099	0
1.10707E+12	16.91	0.08	192.62116	6.60281	54265.21807	0
1.10707E+12	16.86	0.08	192.62113	6.60274	54265.22621	0
1.10707E+12	17.05	0.08	192.62112	6.60295	54171.33799	0
1.10707E+12	16.95	0.08	192.62107	6.6029	54171.3464	0
1.10707E+12	16.92	0.08	192.6211	6.60296	54171.35479	0
1.10707E+12	16.95	0.08	192.62109	6.60268	54171.36321	0
1.10707E+12	16.94	0.08	192.62116	6.60268	54179.38155	0
1.10707E+12	17	0.08	192.62117	6.60292	54179.38991	0
1.10707E+12	16.9	0.08	192.62113	6.60294	54179.39826	0
1.10707E+12	17.03	0.08	192.62115	6.60293	54179.40658	0
1.10707E+12	16.83	0.08	192.62108	6.60272	54233.26346	0
1.10707E+12	16.89	0.08	192.62119	6.60291	54233.27049	0
1.10707E+12	16.8	0.08	192.62115	6.60264	54233.27751	0
1.10707E+12	16.89	0.08	192.62111	6.60289	54233.28454	0
1.10707E+12	16.91	0.08	192.62122	6.6029	54242.24986	0
1.10707E+12	16.76	0.08	192.62118	6.60278	54242.25497	0
1.10707E+12	16.94	0.08	192.62118	6.6029	54242.2601	0
1.10707E+12	16.89	0.08	192.62108	6.60286	54242.26519	0
1.10707E+12	17.02	0.08	192.62106	6.60297	54423.5129	0
1.10707E+12	16.97	0.08	192.62116	6.603	54423.51564	0
1.10707E+12	17	0.08	192.6211	6.60295	54423.51845	0
