# TIME                 APTFLUX     APTFLUX_ERR   DETFLUX      DETFLUX_ERR    CENT_ROW        CENT_COL       
  2145.3695649982983   1571.867    5.6359835     0.9731506    0.0034083303   0.55297077      -0.2262379     
  2145.3899971379797   1590.1261   5.6366425     0.9842255    0.0034475217   0.584944        -0.2464089     
  2145.410429276737    1587.292    5.6371846     0.9821483    0.0034405764   0.625978        -0.25972924    
  2145.430861515022    1566.0757   5.6367984     0.96843356   0.0033922999   0.65372926      -0.28379145    
  2145.4512935528473   1580.529    5.636642      0.97702307   0.0034222929   0.68951845      -0.30095568    
  2145.4717256902077   1570.748    5.6366253     0.970427     0.003399178    0.7504997       -0.3230459     
  2145.533022199488    1532.0858   5.635498      0.9632097    0.003373223    -0.2589595      0.22976296     
  2145.553454334513    1522.7194   5.634385      0.9581143    0.0033547159   -0.23326473     0.22909907     
  2145.573886369544    1535.0836   5.63502       0.9638857    0.003375304    -0.19354884     0.20275806     
  2145.5943186041113   1543.8501   5.6357765     0.96742815   0.0033881636   -0.15376455     0.17427357     
  2145.6147507377464   1567.7404   5.6370745     0.9783288    0.0034271295   -0.12124524     0.14363173     
  2145.6351827709077   1571.8162   5.6374683     0.97797453   0.0034261276   -0.07234433     0.12736697     
  2145.655615004078    1595.1389   5.639066      0.9912875    0.0034737515   -0.045544345    0.09815958     
  2145.6760471363086   1693.2008   5.6452637     1.0525268    0.0036924046   -0.0138467895   0.07662944     
  2145.696479268081    1656.8928   5.643042      1.0303463    0.0036131698   0.011258595     0.06736276     
  2145.7169113993878   1590.7927   5.638474      0.989015     0.003465424    0.048275497     0.039090943    
  2145.737343530229    1601.8667   5.639045      0.9957336    0.0034893185   0.0871745       0.016310807    
  2145.757775660597    1581.3271   5.6384697     0.9818699    0.0034403855   0.12519288      -0.0048312717  
  2145.7782077905067   1583.5928   5.6383133     0.9821306    0.0034412034   0.1345983       -0.032045625   
  2145.7986399199435   1592.7786   5.63803       0.98680073   0.0034573933   0.1911337       -0.04847682    
  2145.8190720484563   1634.812    5.6413016     1.0140882    0.0035550601   0.23087913      -0.0055282093  
  2145.839504176969    1579.2551   5.6379046     0.97686434   0.0034225034   0.24606772      -0.07948399    
  2145.8599363045505   1589.1208   5.6378703     0.9821273    0.0034409214   0.2862173       -0.10652103    
  2145.8803685321254   1591.267    5.638009      0.9833028    0.0034451247   0.32059577      -0.12437691    
  2145.900800558775    1568.5951   5.637264      0.96957093   0.0033965642   0.35731813      -0.13576819    
  2145.921232684952    1578.2961   5.6371727     0.9756766    0.0034178982   0.38419366      -0.15897715    
  2145.9416649106715   1574.1062   5.637382      0.973344     0.0034098534   0.42778963      -0.18639709    
  2145.9620969363896   1572.1593   5.6367693     0.97264254   0.0034070257   0.46502578      -0.19043525    
  2146.0438254322653   1523.099    5.6351047     0.9490642    0.0033234525   -0.08992122     0.13640608     
  2146.064257655191    1533.4113   5.635829      0.95349336   0.0033393917   -0.07390738     0.12096145     
  2146.0846896776493   1528.1755   5.6355267     0.9495509    0.003325406    -0.049011864    0.09561393     
  2146.10512179917     1548.0979   5.6361675     0.9622255    0.0033701768   -0.031869877    0.0910796      
  2146.1255540206985   1567.5691   5.6385407     0.9744104    0.003414291    -0.008255172    0.067524284    
  2146.1459860412942   1596.5808   5.6399083     0.9922237    0.0034775513   0.022842016     0.04343303     
  2146.166418161418    1572.8959   5.6382847     0.9775269    0.0034250556   0.028560096     0.040810112    
  2146.1868503815494   1572.41     5.6387954     0.9774567    0.0034251197   0.05131168      0.03402464     
  2146.207282400748    1586.2155   5.6388683     0.98532385   0.0034527318   0.06491358      0.008601801    
  2146.227714519475    1591.8511   5.6390467     0.9890196    0.003465792    0.07280144      0.009094304    
  2146.248146737744    1603.262    5.6394815     0.9954499    0.0034885944   0.113428675     -0.008118264   
  2146.2685788555464   1588.5598   5.638905      0.9850656    0.003451849    0.13792472      -0.035288744   
  2146.289010972876    1591.4833   5.639606      0.98623663   0.0034563825   0.163018        -0.047224525   
  2146.309443089747    1576.6072   5.6383986     0.9767708    0.0034224754   0.17180438      -0.05128604    
  2146.329875206153    1562.0074   5.6377797     0.96701324   0.0033879143   0.19793066      -0.064032055   
  2146.3503073216198   1589.1018   5.638746      0.9826553    0.0034433058   0.22555882      -0.09439895    
  2146.370739437094    1602.2095   5.639429      0.9902492    0.0034703363   0.26205018      -0.10408924    
  2146.3911715521026   1582.1517   5.6392255     0.97752196   0.0034256096   0.2704453       -0.122637875   
  2146.4116037661734   1578.3444   5.6389184     0.97495073   0.0034164132   0.3199204       -0.14676055    
