idno,parentID,objID,run,rowc,camcol,htmid,parent_ra,ra,parent_dec,dec,separation,mjd_g,psfMag_g,psfMagErr_g,mjd_r,psfMag_r,psfMagErr_r,flags,calMag_g,calMagErr_g,calMag_r,calMagErr_r,Flux_g,FluxErr_g,Flux_r,FluxErr_r,calFlux_g,calFluxErr_g,calFlux_r,calFluxErr_r,ZSPEC
39,8647475121985880238,8658200273785847836,6982,532.4951,5,17073612140583,16.4313309568,16.4313309568,0.667750187433,0.667750187433,0.0334953373269,54365.3537422,17.47869,0.01981434,54365.3504251,17.21203,0.01757732,STATIONARY NODEBLEND_MOVING MOVED BINNED1 DEBLEND_PRUNED NODEBLE,17.4482493719,0.01981434,17.2178096173,0.01757732,0.000370296758783,6.75780845842e-06,0.00047338433348,7.66377871064e-06,0.000380825639776,6.94995689276e-06,0.000470871093437,7.62309115779e-06,1.074
39,8647475121985880238,8658200497119690822,7034,1259.194,5,17073612140581,16.4313316131,16.4313316131,0.667774573949,0.667774573949,0.117460810483,54381.373089,17.47446,0.01560569,54381.369772,17.22248,0.02062604,STATIONARY BINNED1 MANYPETRO,17.4430809564,0.01560569,17.229797894,0.02062604,0.000371742241515,5.34319765866e-06,0.000468849949781,8.90689145305e-06,0.000382642803306,5.49987524937e-06,0.000465700507423,8.84706070336e-06,1.074
39,8647475121985880238,8658200552944238632,7047,610.1416,5,17073612140583,16.4313344767,16.4313344767,0.667755440151,0.667755440151,0.0478521444974,54384.3799277,17.47731,0.01750071,54384.3766107,17.20456,0.01527266,STATIONARY BINNED1 MANYPETRO,17.4449048029,0.01750071,17.1928892847,0.01527266,0.00037076771592,5.97632125248e-06,0.00047665251186,6.70491035129e-06,0.000382000569104,6.15738052705e-06,0.000481803754378,6.77737090398e-06,1.074
39,8647475121985880238,8658200583036993558,7054,635.9861,5,17073612140583,16.4313295134,16.4313295134,0.667741808947,0.667741808947,0.0224702870961,54386.3655907,17.46435,0.02234131,54386.3622735,17.23351,0.01817029,STATIONARY BINNED1,17.4263772522,0.02234131,17.2369311807,0.01817029,0.000375219948488,7.72095272108e-06,0.000464111004568,7.76712278168e-06,0.000388575165694,7.99576405124e-06,0.000462650878785,7.74268695474e-06,1.074
39,8647475121985880238,8658200759101620292,7095,1201.259,5,17073612140583,16.4313588496,16.4313588496,0.667728314017,0.667728314017,0.0970601458551,54396.2367554,17.45687,0.02191246,54396.2334382,17.23442,0.01806506,STATIONARY BINNED1,17.4824024249,0.02191246,17.1412759341,0.01806506,0.000377813893186,7.6250973054e-06,0.000463722176402,7.71567135304e-06,0.000369032774506,7.44787597279e-06,0.000505260738251,8.40681105415e-06,1.074
39,8647475121985880238,8658200806377979910,7106,299.911,5,17073612140583,16.4313316543,16.4313316543,0.667751163403,0.667751163403,0.0354389172899,54403.2837462,17.4918,0.01565642,54403.280429,17.22601,0.01436502,STATIONARY MOVED BINNED1 INTERP COSMIC_RAY CHILD,17.4645942352,0.01565642,17.1990280435,0.01436502,0.000365852394986,5.27563497372e-06,0.000467328074014,6.18307538416e-06,0.000375135552526,5.40949878572e-06,0.000479087315305,6.33865778908e-06,1.074
39,8647475121985880238,8658200853601583143,7117,815.9464,5,17073612140583,16.4313362403,16.4313362403,0.667756137486,0.667756137486,0.0501770091476,54405.3391076,17.48293,0.01549404,54405.3357906,17.21388,0.01492588,STATIONARY MOVED BINNED1 INTERP MANYPETRO CHILD,17.4458384473,0.01549404,17.2032697705,0.01492588,0.000368853499362,5.26374622121e-06,0.000472578413211,6.49666157192e-06,0.000381672220551,5.44667599426e-06,0.000477219277261,6.56046055273e-06,1.074
39,8647475121985880238,8658201016831770679,7155,777.5135,5,17073612140582,16.4313185724,16.4313185724,0.667742512796,0.667742512796,0.061818863335,54416.2762479,17.48556,0.02250796,54416.2729308,17.21756,0.01654363,STATIONARY BINNED1 INTERP CHILD,17.4690067773,0.02250796,17.2168326974,0.01654363,0.000367961098204,7.6280653702e-06,0.000470979362171,7.17644084146e-06,0.000373614055113,7.74525436118e-06,0.000471294963563,7.18124972937e-06,1.074
39,8647475121985880238,8658201111296868388,7177,809.3198,5,17073612140582,16.4313303595,16.4313303595,0.667723321828,0.667723321828,0.0706989431927,54423.2585835,17.47097,0.01840248,54423.2552664,17.23018,0.01530234,STATIONARY BINNED1 INTERP CHILD,17.4611954944,0.01840248,17.2344489972,0.01530234,0.000372939097449,6.3210702481e-06,0.000465536640768,6.56127373228e-06,0.000376311702041,6.37823348334e-06,0.000463709791728,6.53552621107e-06,1.074
39,8647475121985880238,8658201188624564255,7195,719.1111,5,17073612140577,16.4312215835,16.4312215835,0.6677203097,0.6677203097,0.418438998203,54431.2860332,17.42308,0.0521045,54431.2827161,17.11821,0.04072268,STATIONARY BINNED1,17.42308,0.0521045,17.11821,0.04072268,0.000389757017759,1.87044725925e-05,0.000516109602433,1.93577372225e-05,0.000389757017759,1.87044725925e-05,0.000516109602433,1.93577372225e-05,1.074
39,8647475121985880238,8658201205777498219,7199,988.8298,5,17073612140581,16.431339678,16.431339678,0.667794360217,0.667794360217,0.188280535446,54432.2740587,17.52088,0.01602681,54432.2707416,17.28097,0.02621556,STATIONARY BINNED1,17.4704484509,0.01602681,17.1843993823,0.02621556,0.000356183570692,5.25771913837e-06,0.000444260633088,1.07268815734e-05,0.000373118287452,5.50769611302e-06,0.000485585988009,1.1724697995e-05,1.074
39,8647475121985880238,8658201218685599811,7202,893.6993,5,17073612140581,16.431326804,16.431326804,0.667763327132,0.667763327132,0.0825566192983,54433.2814516,17.46481,0.01972992,54433.2781344,17.168,0.01992696,STATIONARY BINNED2 BINNED1 DEBLEND_PRUNED INTERP NODEBLEND BLEND,17.4283936487,0.01972992,17.1656905518,0.01992696,0.00037506101036,6.81559197578e-06,0.000492976150975,9.04780677541e-06,0.000387854184306,7.04806826864e-06,0.000494025868541,9.06707264058e-06,1.074
