# time_1               cadence_1   quality_1   x_1                     y_1                     flux_1               error_1              mflags_1   trend_t_1            trend_p_1            time_2               cadence_2   quality_2   x_2                     y_2                     flux_2               error_2              mflags_2   trend_t_2           trend_p_2           
  2144.1027710617273   -31473      0           0.009500477463006973    0.2828179895877838      ""                   ""                   33         1638.0425972381374   1578.6637736017053   2144.1027710617273   -31473      0           0.009500477463006973    0.2828179895877838      989.7597127376871    2.305668592453003    0          968.354195827418    1154.957548615165   
  2144.1232033330743   -31472      0           0.01710953749716282     0.27301087975502014     1598.8873099722862   3.690117597579956    0          1633.844289214551    1578.616210217337    2144.1232033330743   -31472      0           0.01710953749716282     0.27301087975502014     986.6385745126072    2.3054521083831787   0          965.3388988407593   1155.6832172253412  
  2144.143635403496    -31471      0           0.022734368219971657    0.2651160657405853      1599.0790466505264   3.693052291870117    0          1629.1100482336085   1578.8193590512894   2144.143635403496    -31471      0           0.022734368219971657    0.2651160657405853      989.7947560678282    2.3052361011505127   0          961.6447285582833   1156.0427391557212  
  2144.1640676734532   -31470      0           0.030094021931290627    0.25752949714660645     1609.9492525880535   3.693040609359741    0          1624.4334406141795   1578.6244179597538   2144.1640676734532   -31470      0           0.030094021931290627    0.25752949714660645     995.5367393657318    2.3049826622009277   0          957.793229396092    1156.9458341215714  
  2144.184499842937    -31469      0           0.04811431095004082     0.24410468339920044     1612.763122244772    3.6971282958984375   0          1620.1170450602538   1577.2653715913361   2144.184499842937    -31469      0           0.04811431095004082     0.24410468339920044     999.7954693321435    2.3053159713745117   0          954.2028345158343   1159.8202236447923  
  2144.2049319119615   -31468      0           0.06639210879802704     0.2308909147977829      1605.775773649312    3.6999354362487793   0          1616.1816660932327   1576.0572397788171   2144.2049319119615   -31468      0           0.06639210879802704     0.2308909147977829      995.9171953230931    2.30462384223938     0          951.1036433352765   1162.4041341469006  
  2144.2253641805146   -31467      0           0.08915586769580841     0.21631932258605957     1597.298070061534    3.7008934020996094   0          1612.4720066752677   1574.3699689954976   2144.2253641805146   -31467      0           0.08915586769580841     0.21631932258605957     989.4176123163485    2.3039486408233643   0          948.5228903999184   1165.4491917686908  
  2144.245796348143    -31466      0           0.12637664377689362     0.19563232362270355     1603.6794434655485   3.7078378200531006   0          1608.789034751273    1571.3828712264153   2144.245796348143    -31466      0           0.12637664377689362     0.19563232362270355     991.4294094759433    2.3055813312530518   0          946.3356206124315   1169.8578186934578  
  2144.266228515771    -31465      0           0.1491963118314743      0.1811855286359787      1604.4450095575144   3.710800886154175    0          1604.9974035260518   1570.6545418284206   2144.266228515771    -31465      0           0.1491963118314743      0.1811855286359787      990.5644235782892    2.3061280250549316   0          944.3542585837408   1171.3097574401152  
  2144.286660682934    -31464      0           0.179748997092247       0.16667112708091736     1599.3860645299444   3.712247371673584    0          1601.0923618721768   1568.8356915958032   2144.286660682934    -31464      0           0.179748997092247       0.16667112708091736     983.7765086170879    2.3061630725860596   0          942.4243542242525   1173.5507701201798  
